name,formatted_address,websiteUri,rating,nationalPhoneNumber,googleMapsLinks
Scottsdale Condominium Rentals,"15221 N Clubgate Dr, Scottsdale, AZ 85254, USA",http://www.scottsdaleazcondorentals.com/corporateHousing.html,4.0,(480) 699-9915,https://maps.google.com/?cid=7017800060458730994
"Arizona Vacation Rentals by Vacasa Arizona, LLC","4, 8350 E Evans Rd Suite A, Scottsdale, AZ 85260, USA",https://www.vacasa.com/usa/Arizona/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB-Arizona,3.6,(480) 935-6406,https://maps.google.com/?cid=17035589894146413461
The White Mountain Rentals,"2112 Bonney Ln, Pinetop, AZ 85935, USA",http://www.whitemountainrentals.net/,N/A,(602) 708-6173,https://maps.google.com/?cid=7312818545944066770
Vacation Rentals Southwest,"2200 N Central Ave #205, Phoenix, AZ 85004, USA",http://vacationrentalssouthwest.com/contact-us/,3.5,(602) 253-1812,https://maps.google.com/?cid=1890174917614805235
Signature Vacation Rentals,"15475 N Greenway Hayden Loop b2, Scottsdale, AZ 85260, USA",http://www.arizonalodgingexperts.com/,4.0,(602) 888-9099,https://maps.google.com/?cid=356098557448399921
Elite Vacation Rentals,"2425 S Stearman Dr, Chandler, AZ 85286, USA",https://elitevrs.com/contact-us/,3.9,(480) 447-9211,https://maps.google.com/?cid=17259043925939884419
Jaitley Vacation Rentals,"105 W Leroux St, Prescott, AZ 86303, USA",https://jaitleyvacationrentals.com/contact/,N/A,N/A,https://maps.google.com/?cid=6003584532014389645
Marble Canyon Lodge,"US-89A, Marble Canyon, AZ 86036, USA",https://www.marblecanyonlodge.com/,4.0,(928) 355-2225,https://maps.google.com/?cid=11072899263236229175
"Independent Order of Odd Fellows, IOOF, Arizona lodge #1","8690 E Loos Dr, Prescott Valley, AZ 86314, USA",https://www.facebook.com/IOOFAZ1?mibextid=ZbWKwL,4.0,(928) 235-6562,https://maps.google.com/?cid=7551768448819162410
LifeStream at Sun City,"12415 N 103rd Ave, Sun City, AZ 85351, USA",https://www.lifestreamatsuncity.com/,3.7,(602) 612-9875,https://maps.google.com/?cid=12950072961417708499
Lodge At 14th Street,"2941 N 14th St, Phoenix, AZ 85014, USA",N/A,3.5,(602) 279-1033,https://maps.google.com/?cid=8264016185658760121
"BBB Pacific Southwest, Central & Inland California - Phoenix","1010 E Missouri Ave, Phoenix, AZ 85014, USA",N/A,4.0,(602) 264-1721,https://maps.google.com/?cid=17366358807580625294
